name,href,location,active_years,description
A G Josh,https://www.rekhta.org/poets/a-g-josh,Lahore,1928 -2007,
A. D. Azhar,https://www.rekhta.org/poets/a-d-azhar,,,
A. Hameed,https://www.rekhta.org/authors/a-hameed,Lahore,1928 -2011,"Popular short story writer, novelist and playwright, known for his romantic style of rendition"
A. Khayyam,https://www.rekhta.org/authors/a-khayyam-1,Karachi,,
A. S Bukhari,https://www.rekhta.org/authors/a-s-bukhari,,,
A.D.Rahi,https://www.rekhta.org/poets/adrahi,,,
A.R Sahil 'Aleeg',https://www.rekhta.org/poets/ar-sahil-aleeg,Uttar pradesh,1992,
Aabid Adeeb,https://www.rekhta.org/poets/aabid-adeeb,Udaipur,1937,
Aabid Jafri,https://www.rekhta.org/poets/aabid-jafri,,,
aabid umar,https://www.rekhta.org/poets/aabid-umar,Kasur,1977,
Aabida Urooj,https://www.rekhta.org/poets/aabida-urooj,,,
Aabidullah Ghazi,https://www.rekhta.org/poets/aabidullah-ghazi,Chicago,1936 -2021,
Aadarsh Dubey,https://www.rekhta.org/poets/aadarsh-dubey,Sagar,2001,
Aadil Aseer Dehlvi,https://www.rekhta.org/poets/aadil-aseer-dehlvi,Delhi,1959 -2014,"Browse top ebooks written by Aadil Aseer Dehlvi here. This page features all the popular ebooks by Aadil Aseer Dehlvi, selected by Rekhta for Urdu Ebook readers."
Aadil Farhat,https://www.rekhta.org/poets/aadil-farhat,Jammu and Kashmir,1984,
Aadil Rahi,https://www.rekhta.org/poets/aadil-rahi,yavatmal,1993,
Aadil Rasheed,https://www.rekhta.org/poets/aadil-rasheed,Delhi,1967,
Aadil Raza Mansoori,https://www.rekhta.org/poets/aadil-raza-mansoori,Jaipur,1978,Well-known poet and editor of literary journal 'Istefsaar'
Aafaq Banarasi  new,https://www.rekhta.org/poets/aafaq-banarasi,,1934,
Aafaque Siddiqui,https://www.rekhta.org/poets/aafaque-siddiqui,Karachi,1928,"Pakistani poet, journalist, and translator known for his book containing translations of Sindhi literature"
Aaftab Lakhnvi,https://www.rekhta.org/poets/aaftab-lakhnvi,,,
Aaftab Muztar,https://www.rekhta.org/authors/aaftab-muztar,,1959,
Aaftab Rais Panipati,https://www.rekhta.org/poets/aaftab-rais-panipati,Panipat,,"A poet known for his poems on personalities, incidents, festivals, and topical issues. Also wrote a play called 'Hindustani Soorma'"
Aaga nisaar,https://www.rekhta.org/poets/aaga-nisaar,,,
Aagha Akbarabadi,https://www.rekhta.org/poets/aagha-akbarabadi,,-1879,"Prominent classical poet and contemporary of Dagh Dehlavi, reflecting all the values of romantic bohimianism of classical Urdu ghazal."
Aagha Ashraf,https://www.rekhta.org/authors/aagha-ashraf,,,
Aagha Babar,https://www.rekhta.org/authors/aagha-babar,Karachi,1919 -1998,Noted fiction writer and playwright from Pakistan.
Aah Sambhali,https://www.rekhta.org/authors/aah-sambhali,Sambhalpur,,
Aajiz Hengan Ghati,https://www.rekhta.org/poets/aajiz-hengan-ghati,,1936 -2008,
Aajiz Meer Puri,https://www.rekhta.org/authors/aajiz-meer-puri,,,
Aakash Atharv,https://www.rekhta.org/poets/aakash-atharv,Basti,2003,
Aakif Ghani,https://www.rekhta.org/poets/aakif-ghani,France,,
Aalam Nizami,https://www.rekhta.org/poets/aalam-nizami,Mumbai,1984,
Aale Ahmad Suroor,https://www.rekhta.org/authors/aale-ahmad-suroor,Aligarh,1911 -2002,One of the founders of modern Urdu criticism.
Aal-e-Raza Raza,https://www.rekhta.org/poets/aal-e-raza-raza,Karachi,1896 -1978,Prominent poet who mastered the poetic idiom of Lucknow poetry.
Aal-e-Umar,https://www.rekhta.org/poets/aal-e-umar,,1995,
Aali Gopalpuri,https://www.rekhta.org/authors/aali-gopalpuri,Balrampur,1912 -1980,
Aalok Shrivastav,https://www.rekhta.org/poets/aalok-shrivastav,Noida,1971,Eminent Poet and Lyricist
Aamil Darvesh,https://www.rekhta.org/poets/aamil-darvesh,,,
Aamina Azfar,https://www.rekhta.org/poets/aamina-azfar,,,
Aamina Mufti,https://www.rekhta.org/poets/aamina-mufti,,,
Aamir Ata,https://www.rekhta.org/poets/aamir-ata,Kolkata,1994,
Aamir Azher,https://www.rekhta.org/poets/aamir-azher-1,Bhopal,1989,
Aamir Riaz,https://www.rekhta.org/poets/aamir-riaz-1,Delhi,1993,
Aamir Shauqi,https://www.rekhta.org/poets/aamir-shauqi,Banaras,1997,
Aamir Suhail,https://www.rekhta.org/poets/aamir-suhail,Pakistan,1977,One of the prominent poets of Pakistan known for his unique responses to modern-day social issues in his Ghazals and Nazms
Aanand Akhtar,https://www.rekhta.org/poets/aanand-akhtar,Bettiah,,
Aanand Saroop Anjum,https://www.rekhta.org/poets/aanand-saroop-anjum,,,"Prominent among the poets of Kashmir, published two collections, 'Raaste Manzilein' and 'Patta Patta'"
Aanis Moin,https://www.rekhta.org/poets/aanis-moin,Multan,1960 -1986,A promising poet from Pakistan who committed suicide at the age of 27
Aaquib Shaad,https://www.rekhta.org/poets/aaquib-shaad,Hapur,1994,
B S Jain Jauhar,https://www.rekhta.org/poets/b-s-jain-jauhar,Meerut,1927,"A disciple of Seemab Akbarabadi, published several collections of his ghazals and nazms"
B.M Khan Maley,https://www.rekhta.org/poets/bm-khan-maley,Hyderabad,1952,
Baba Moghaddam,https://www.rekhta.org/authors/baba-moghaddam,Tehran,1875 -1946,
Babar Ali Asad,https://www.rekhta.org/poets/babar-ali-asad,Faisalabad,1980,
Babar Rehman Shah,https://www.rekhta.org/poets/babar-rehman-shah,,1994,
Babar Zuhrab,https://www.rekhta.org/poets/babar-zuhrab,Rawalpindi,,
Babu Ladli Lal Laeq,https://www.rekhta.org/authors/babu-ladli-lal-laeq,Mainpuri,1894,
Babu Ram Charan Lal,https://www.rekhta.org/authors/babu-ram-charan-lal,,,
Baburao Bagul,https://www.rekhta.org/authors/baburao-bagul,Nashik,1930 -2008,
Badiuzzaman Khawar,https://www.rekhta.org/poets/badiuzzaman-khawar,Ratnagiri,1938 -1990,"Poet, writer and translator from Maharashtra, also translated Marathi poems into Urdu"
Badiuzzaman Sahar,https://www.rekhta.org/authors/badiuzzaman-sahar,Patna,1944,
Badnam Nazar,https://www.rekhta.org/poets/badnam-nazar,Sheikhpura,1941 -2023,
Badr Azimabadi,https://www.rekhta.org/authors/badr-azimabadi,,,
Badr Jamali,https://www.rekhta.org/poets/badr-jamali,Tamil Nadu,,One of the well-known poets of Tamil Nadu
Badr Jameel,https://www.rekhta.org/poets/badr-jameel,,1946,
Badr Mohammadi,https://www.rekhta.org/authors/badr-mohammadi,Vaishali,1963,
Badr Muneer,https://www.rekhta.org/poets/badr-muneer,Khushab,,
Badr Shamsi,https://www.rekhta.org/authors/badr-shamsi,,,
Badr Wasti,https://www.rekhta.org/poets/badr-wasti,,,
Badr-e-Alam Khalish,https://www.rekhta.org/poets/badr-e-alam-khalish,Jamshedpur,1962,
Badr-e-Alam Khan Azmi,https://www.rekhta.org/authors/badr-e-alam-khan-azmi,Delhi,,
Badrinath Upadhyay 'Prem Dhan',https://www.rekhta.org/poets/badrinath-upadhyay-prem-dhan,,,
Badrul Hasan Badar,https://www.rekhta.org/poets/badrul-hasan-badar,,,
Baeem Hairati,https://www.rekhta.org/poets/baeem-hairati,,,
Bagh Husain Kamal,https://www.rekhta.org/poets/bagh-husain-kamal,,,
Bahadur Shah Zafar,https://www.rekhta.org/poets/bahadur-shah-zafar,Delhi,1775 -1862,Last Mughal Emperor and contemporary of Ghalib and Zauq.
Bahadur Singh Kam Badayuni,https://www.rekhta.org/poets/bahadur-singh-kam-badayuni,,,
Baharunnisa Bahar,https://www.rekhta.org/authors/baharunnisa-bahar,Multan,,
Bahauddin Kaleem,https://www.rekhta.org/poets/bahauddin-kaleem,,,
Bahram ji,https://www.rekhta.org/poets/bahram-ji,,1828 -1895,Parsi religious scholar who deeply absorbed Urdu literary traditions and wrote poetry in Urdu and Persian
Bahram Tariq,https://www.rekhta.org/poets/bahram-tariq,,,
Bahzad Fatami,https://www.rekhta.org/authors/bahzad-fatami,,1914,
Baig Ehsas,https://www.rekhta.org/authors/baig-ehsas,Hyderabad,1948,"Noted story writer, a recipient of Sahitya Akademi award."
Bakhsh Layalpuri,https://www.rekhta.org/poets/bakhsh-layalpuri,London,1934 -2002,"A people’s poet with progressive leanings, also served as the president of  Progressive Writers Association of UK"
Bakhtiyar Ziya,https://www.rekhta.org/poets/bakhtiyar-ziya,Bhopal,1922 -1984,"One of the better-known poets of  Bhopal, was influenced by Progressive Writers Movement"
Bakul Dev,https://www.rekhta.org/poets/bakul-dev,Jaipur,1980,A new age Indian poet
Bal Krishn,https://www.rekhta.org/poets/bal-krishn-1,,,
Bal Mukund Besabr,https://www.rekhta.org/poets/bal-mukund-besabr,Delhi,1812/13 -1885,"A poet-mentor, favourite disciple of Mirza Ghalib"
Bal Swaroop Rahi,https://www.rekhta.org/poets/bal-swaroop-rahi,Delhi,1936,
Balbir Rathi,https://www.rekhta.org/poets/balbir-rathi,,,
Balbir Singh Rang,https://www.rekhta.org/poets/balbir-singh-rang,,,
Baldev Raaj,https://www.rekhta.org/poets/baldev-raaj,,1924,
Baldev singh Hamdam,https://www.rekhta.org/poets/baldev-singh-hamdam,Kurukshetra,1922,
Balmohan panday,https://www.rekhta.org/poets/balmohan-panday,Delhi,1998,
Balraj Bakshi,https://www.rekhta.org/poets/balraj-bakshi,,,
Balraj Hairat,https://www.rekhta.org/poets/balraj-hairat,,1930 -1995,
Balraj Hayat,https://www.rekhta.org/poets/balraj-hayat,,,
Balraj Komal,https://www.rekhta.org/poets/balraj-komal,Delhi,1928 -2013,"One of the leading modern poets and short story writer, who made outstanding contribution to modern Urdu Nazm in India."
Balraj Kumar,https://www.rekhta.org/poets/balraj-kumar,,,
Balraj Menra,https://www.rekhta.org/authors/balraj-menra,Delhi,1935 -2016,"Most prominent modernist fiction writer, celebrated for his symbolic stories; also the compiler of journal 'Shuoor'."
