name,href,location,active_years,description
Adil Mansuri,https://www.rekhta.org/poets/adil-mansuri,Ahmedabad,1936 -2008,One of the leading modernist poets who broke many conventions. Wrote poetry in Urdu and Gujarati. He was also a famous calligrapher and playwright
Ahmad Faraz,https://www.rekhta.org/poets/ahmad-faraz,Islamabad,1931 -2008,Widely celebrated and sung Urdu poet. Rose to iconic stature through his seductively romantic and anti-establishment poetry
Ahmad Mushtaq,https://www.rekhta.org/poets/ahmad-mushtaq,USA,1933,"One of the leading and reputed Pakistani poets known for his neo-classical tone, equally well-known in India, lives in Houston USA."
Ahmad Nadeem Qasmi,https://www.rekhta.org/poets/ahmad-nadeem-qasmi,Lahore,1916 -2006,"Most outstanding Pakistani, Progressive poet. Also counted among leading fiction-writers. Edited an important literary magazine Funoon."
Aitbar Sajid,https://www.rekhta.org/poets/aitbar-sajid,Islamabad,1948,
Akbar Allahabadi,https://www.rekhta.org/poets/akbar-allahabadi,Allahabad,1846 -1921,The greatest Urdu poet of humour and satire who was a Sessions judge at  Allahabad.
Akhtarul Iman,https://www.rekhta.org/poets/akhtarul-iman,Mumbai,1915 -1996,"One of the pillars of modern Urdu Nazms & Dialogue writer. Wrote dialogues for more than hundred films including ""Waqt"" & ""Qanoon"". (Jin ke ghar sheeshe ke hote hain wo doosron par pather nahin phenkte-One of his dialogues made famous by Rajkumar in Film Waqt)."
Ali Sardar Jafri,https://www.rekhta.org/poets/ali-sardar-jafri,Mumbai,1913 -2000,"One of the most celebrated progressive poets, literary critic, public intellectual and editor.Contemporary of Faiz Ahmad Faiz. Recipient of Gyanpeeth Award. Produced documentaries on Urdu poetry."
Allama Iqbal,https://www.rekhta.org/poets/allama-iqbal,Lahore,1877 -1938,One of the greatest Urdu Poets. National poet of Pakistan who penned 'Saare jahaan se achha hindostaan hamara' and 'Lab pe aati hai dua ban ke tamanna meri'
Ameer Minai,https://www.rekhta.org/poets/ameer-minai,Hyderabad,1829 -1900,"Eminent Urdu Poet and contemporary of Dagh Dehlvi. Famous for penning ghazal ""Sarakti jaye hai rukh se naqaab aahista aahista""."
Asrarul Haq Majaz,https://www.rekhta.org/poets/asrarul-haq-majaz,Lucknow,1911 -1955,One of the most famous Progressive poets known for romantic & revolutionary poetry. He was maternal Uncle to film lyricist Jawed Akhtar.
Bahadur Shah Zafar,https://www.rekhta.org/poets/bahadur-shah-zafar,Delhi,1775 -1862,Last Mughal Emperor and contemporary of Ghalib and Zauq.
Bashar Nawaz,https://www.rekhta.org/poets/bashar-nawaz,Aurangabad,1935 -2015,"One of the prominent progressive poets, critic and lyricist Known for writing lyrics ‘karoge yaad to har baat yaad…’  for ‘Bazaar’."
Faiz Ahmad Faiz,https://www.rekhta.org/poets/faiz-ahmad-faiz,Lahore,1911 -1984,One of the widely celebrated and popular Urdu poets. Equally sung in romance and rebel. Faced political repression against his revolutionary views
Firaq Gorakhpuri,https://www.rekhta.org/poets/firaq-gorakhpuri,Allahabad,1896 -1982,One of the most influential Pre-modern poets who paved the way for the modern Urdu ghazal. Known for his perceptive critical comments. Recipient of Gyanpeeth award.
Gulzar,https://www.rekhta.org/poets/gulzar,Mumbai,1936,"Celebrated poet, novelist, song and scriptwriter. Acclaimed for directing tele-serial on Mirza Ghalib. Recipient of Sahitya Academy and Dada Sahab Phalke awards"
Hasrat Mohani,https://www.rekhta.org/poets/hasrat-mohani,Delhi,1878 -1951,"Freedom fighter, member of constituent assembly which drafted Indian Constitution. He gave the slogan ""Inquilab Zindabad"" during freedom movement. He was a devotee of Shri Krishna. He wrote the famous ghazal ""chupke chupke raat din""."
Jaun Eliya,https://www.rekhta.org/poets/jaun-eliya,Karachi,1931 -2002,One of the most prominent modern Urdu poets. Popular among masses for his unconventional ways
Jigar Moradabadi,https://www.rekhta.org/poets/jigar-moradabadi,Moradabad,1890 -1960,One of the most prominent pre-modern poets who enjoyed stunning popularity and fan-following.
Kaifi Azmi,https://www.rekhta.org/poets/kaifi-azmi,Mumbai,1918 -2002,"One of prominent progressive poets with popular appeal. Also film lyricist famous for his lyrics in films like Heer Ranjha, Kaghaz ke Phool etc."
